           Xi|          Vi1|          Vi2|         V2i1|         V2i2|     Vi1-V2i1|     Vi2-V2i2|         OLP1|         OLP2|            h|           C1|           C2|
           -2|            2|            8|            2|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.99|         2.08|            8|         2.08|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.98|         2.16|            8|         2.16|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.97|         2.24|            8|         2.24|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.96|         2.32|            8|         2.32|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.95|          2.4|            8|          2.4|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.94|         2.48|            8|         2.48|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.93|         2.56|            8|         2.56|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.92|         2.64|            8|         2.64|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.91|         2.72|            8|         2.72|            8|            0|            0|            0|            0|         0.01|            0|            0|
         -1.9|          2.8|            8|          2.8|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.89|         2.88|            8|         2.88|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.88|         2.96|            8|         2.96|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.87|         3.04|            8|         3.04|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.86|         3.12|            8|         3.12|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.85|          3.2|            8|          3.2|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.84|         3.28|            8|         3.28|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.83|         3.36|            8|         3.36|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.82|         3.44|            8|         3.44|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.81|         3.52|            8|         3.52|            8|            0|            0|            0|            0|         0.01|            0|            0|
         -1.8|          3.6|            8|          3.6|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.79|         3.68|            8|         3.68|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.78|         3.76|            8|         3.76|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.77|         3.84|            8|         3.84|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.76|         3.92|            8|         3.92|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.75|            4|            8|            4|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.74|         4.08|            8|         4.08|            8|            0|            0|            0|            0|         0.01|            0|            0|
        -1.73|         4.16|            8|         4.16|            8|            0|            0|            0|            0|         0.01|            0|            0|
